@relation 'crimepredict-weka.filters.unsupervised.attribute.Remove-R4_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.177medFamInc+0.175medIncome+0.174PctKids2Par+0.171pctWInvInc+0.171PctFam2Par... numeric
@attribute '0.21 PctRecImmig10+0.21 PctRecImmig8+0.208PctRecImmig5+0.206PctForeignBorn+0.205PctRecentImmig...' numeric
@attribute 0.204HousVacant-0.193PersPerOccupHous+0.193numbUrban+0.192population+0.192NumInShelters... numeric
@attribute -0.243PctSameCity85-0.242PctSameHouse85+0.207PctImmigRec5+0.204PctImmigRec8+0.202PctImmigRecent... numeric
@attribute '-0.238agePct65up-0.203pctWSocSec+0.2  agePct12t21+0.186pctWWage+0.179householdsize...' numeric
@attribute -0.371PolicPerPop-0.371LemasSwFTPerPop-0.367LemasSwFTFieldPerPop-0.32PolicBudgPerPop-0.251LemasTotReqPerPop... numeric
@attribute '0.278PctEmplProfServ-0.235MedYrHousBuilt-0.213PolicBudgPerPop+0.21 MalePctNevMarr-0.196LemasSwFTPerPop...' numeric
@attribute -0.302racepctblack-0.216PctIlleg+0.214racePctWhite-0.186PctPolicBlack+0.183RacialMatchCommPol... numeric
@attribute 0.287PctEmplManu+0.284PctHousOccup-0.231MedYrHousBuilt+0.217PopDens+0.192PctOccupManu... numeric
@attribute -0.413PctPolicMinor+0.412PctPolicWhite-0.285PctPolicHisp-0.251PctPolicAsian-0.251PctPolicBlack... numeric
@attribute -0.303PctImmigRec8-0.298PctImmigRec5-0.295PctImmigRec10-0.278PctImmigRecent+0.209MalePctNevMarr... numeric
@attribute 0.259PctPolicHisp-0.257MedRentPctHousInc+0.228PctPolicMinor+0.222state-0.22PctPolicWhite... numeric
@attribute 0.311MedOwnCostPctIncNoMtg-0.272PolicReqPerOffic-0.255pctWRetire-0.231pctUrban-0.23PctHousOccup... numeric
@attribute 0.359PolicReqPerOffic+0.259LemasTotReqPerPop+0.254LemasPctPolicOnPatr-0.253pctWRetire-0.235PctPolicBlack... numeric
@attribute '0.479PctWorkMomYoungKids+0.441PctWorkMom+0.21 pctWFarmSelf+0.195LemasPctOfficDrugUn-0.134PctHousOccup...' numeric
@attribute -0.368PolicReqPerOffic-0.283state-0.266LemasPctPolicOnPatr+0.248PolicAveOTWorked-0.236LemasTotReqPerPop... numeric
@attribute 0.266MedOwnCostPctIncNoMtg+0.239PctEmplManu+0.212PctImmigRec5-0.208PctEmplProfServ-0.202county... numeric
@attribute 0.482county+0.348community+0.287PctEmplManu-0.196LemasGangUnitDeploy-0.168NumKindsDrugsSeiz... numeric
@attribute '-0.462RacialMatchCommPol+0.32 PctPolicAsian-0.254LemasPctPolicOnPatr+0.224PolicAveOTWorked+0.221LemasGangUnitDeploy...' numeric
@attribute 0.354PolicAveOTWorked-0.309PctPolicBlack+0.254PctPolicHisp+0.242LemasPctPolicOnPatr+0.213PctPolicAsian... numeric
@attribute -0.769fold+0.321PolicAveOTWorked-0.233RacialMatchCommPol+0.217LemasPctPolicOnPatr-0.204county... numeric
@attribute '-0.643community-0.342LemasGangUnitDeploy-0.231PolicAveOTWorked-0.23OtherPerCap+0.19 LemasPctOfficDrugUn...' numeric
@attribute 0.592indianPerCap+0.356LemasGangUnitDeploy-0.338community+0.318NumKindsDrugsSeiz-0.184fold... numeric
@attribute -0.424OtherPerCap+0.371indianPerCap-0.323NumKindsDrugsSeiz+0.319PolicAveOTWorked+0.298county... numeric
@attribute -0.442fold-0.407PolicAveOTWorked+0.283PctPolicAsian+0.254NumKindsDrugsSeiz+0.231county... numeric
@attribute -0.516OtherPerCap-0.401indianPerCap+0.395LemasGangUnitDeploy-0.212PctPolicAsian-0.169NumStreet... numeric
@attribute 0.463NumKindsDrugsSeiz+0.459LemasPctPolicOnPatr-0.293OtherPerCap+0.229community+0.209LemasPctOfficDrugUn... numeric
@attribute -0.433indianPerCap+0.395county-0.393community+0.325LemasPctPolicOnPatr+0.218OtherPerCap... numeric
@attribute -0.483NumKindsDrugsSeiz+0.427LemasGangUnitDeploy+0.285LemasPctPolicOnPatr-0.263PolicAveOTWorked+0.219PctVacMore6Mos... numeric
@attribute '-0.349PctVacMore6Mos-0.261PctVacantBoarded+0.236MedYrHousBuilt-0.231indianPerCap+0.21 PctSameState85...' numeric
@attribute 0.436AsianPerCap-0.283pctWFarmSelf-0.273LemasGangUnitDeploy-0.245PctHousOccup-0.221MedNumBR... numeric
@attribute 0.687AsianPerCap-0.271PctWOFullPlumb-0.244blackPerCap-0.176pctUrban+0.175RacialMatchCommPol... numeric
@attribute 0.533PctWOFullPlumb+0.236blackPerCap-0.231state-0.227pctWFarmSelf-0.168pctUrban... numeric
@attribute -0.328racePctAsian-0.243blackPerCap+0.234pctWFarmSelf+0.212NumStreet+0.209PctLargHouseFam... numeric
@attribute 0.427RacialMatchCommPol+0.411PctPolicAsian-0.341PctPolicHisp+0.298PctPolicBlack-0.224MedNumBR... numeric
@attribute -0.471state+0.346MedNumBR-0.269PctEmplManu-0.214MedRentPctHousInc+0.201county... numeric
@attribute 0.385LemasPctOfficDrugUn-0.35LandArea+0.304OfficAssgnDrugUnits-0.231PolicCars+0.203MedRentPctHousInc... numeric
@attribute -0.617blackPerCap+0.358PctWOFullPlumb-0.239PctVacantBoarded+0.224LemasPctOfficDrugUn+0.208OfficAssgnDrugUnits... numeric
@attribute 0.486PctWOFullPlumb+0.306MedRentPctHousInc+0.244pctUrban+0.212pctWFarmSelf-0.2MedOwnCostPctIncNoMtg... numeric
@attribute 0.414blackPerCap+0.274pctWRetire+0.261pctWFarmSelf+0.219racePctAsian+0.218state... numeric
@attribute 0.397PctHousOccup-0.325MedNumBR+0.283pctWFarmSelf+0.268PctVacantBoarded+0.211MedOwnCostPctIncNoMtg... numeric
@attribute -0.427MedNumBR-0.225MedOwnCostPctIncNoMtg-0.211state+0.197PctVacMore6Mos+0.176PctHousLess3BR... numeric
@attribute '0.669HispPerCap-0.348NumStreet-0.319OtherPerCap+0.18 PctPolicAsian-0.151PctVacantBoarded...' numeric
@attribute 0.556NumStreet+0.419HispPerCap-0.296PctPolicAsian-0.22pctUrban-0.208OtherPerCap... numeric
@attribute '-0.399PctUsePubTrans+0.341MedOwnCostPctInc+0.26 pctUrban+0.215MedNumBR+0.206pctWRetire...' numeric
@attribute 0.443ViolentCrimesPerPop-0.288pctUrban+0.264LandArea-0.25racePctAsian-0.208MedOwnCostPctIncNoMtg... numeric
@attribute -0.424PctVacantBoarded+0.349pctUrban+0.227pctWFarmSelf+0.217NumStreet+0.194MedOwnCostPctIncNoMtg... numeric
@attribute '-0.437PctVacMore6Mos+0.386PctVacantBoarded+0.265MedOwnCostPctIncNoMtg+0.24 racePctAsian-0.238PctHousOccup...' numeric
@attribute PolicOperBudg numeric

@data
1.903125,-1.233235,1.443943,3.164863,-0.071784,5.136149,-1.414676,-0.298211,0.619966,2.599199,0.403098,-0.448658,-0.91641,2.548412,1.18685,0.245896,-1.349376,-0.690716,-2.332863,0.582103,1.211187,-0.038605,0.62143,0.036168,0.508327,-0.400165,-0.200345,0.296591,-0.031169,-0.726875,-1.065011,0.508504,0.543285,0.12471,0.351466,0.749475,0.13134,-0.518322,-0.281651,0.147781,-0.630945,-0.52703,0.424635,-0.329109,-0.274244,-0.10491,0.015438,-0.377846,0.04
-1.668873,0.378509,2.370041,4.586513,-1.686591,2.025334,-3.277839,-1.573049,2.404322,-1.574176,-0.686709,1.230644,0.124589,0.906011,-3.080205,-0.497856,0.102246,-0.697012,-0.516676,-0.557326,0.936291,-0.632346,-0.014242,-0.164727,0.858329,0.577487,-0.441025,0.333463,0.193522,0.240504,1.189955,-0.136417,-1.522067,-0.343759,-0.218883,-0.270762,-0.75538,0.310878,-0.250008,0.364627,0.16052,-0.347865,0.049618,0.451622,-0.610834,1.558181,0.451475,-0.203838,?
-2.121458,-2.422482,-0.08967,-0.280045,-0.523091,0.781149,-1.92919,-2.256511,-0.205466,-0.892027,1.585272,-1.005875,-0.312664,0.410181,-0.719148,0.897751,-1.754405,0.491215,-0.072686,0.927327,1.384039,0.423712,-0.129959,-0.946535,0.693661,0.646485,-1.040909,0.009251,-0.069544,-0.97434,-0.313262,-0.413858,0.992903,0.226083,-0.472508,-0.100263,-0.538044,0.227582,-0.002911,0.827556,0.35057,-0.667913,0.002962,0.342009,0.123748,1.01641,-1.072713,0.104092,?
2.963251,2.0241,-2.282789,-2.834913,2.321809,-0.545828,0.195492,-5.044093,-0.317488,0.569354,1.682693,-2.101056,-1.680713,-2.098303,2.174066,-0.784505,-1.41106,0.110508,-1.101122,2.956372,1.431908,-1.61299,-0.334088,-0.217441,1.96604,0.372353,-1.161765,-0.447721,0.695887,-1.757295,0.647137,-0.194742,-0.417724,0.956497,-0.817998,-1.897477,0.144338,-0.833767,0.41287,1.635934,1.232617,-0.714068,0.129479,0.23556,-0.696705,0.15256,-0.123567,-0.811616,?
5.698151,-2.441365,-1.206745,-2.622232,1.908218,0.149022,-0.592896,0.252855,0.391106,-0.080492,0.364001,0.281832,-0.717801,-0.66076,-0.603602,-0.344313,0.302072,0.999948,-0.117617,-0.208262,1.203935,2.274611,1.000558,-1.746929,-0.6243,1.20434,-0.996176,1.498588,-0.407572,0.319225,1.027886,0.687323,-0.099642,0.399226,0.100493,0.120055,0.190572,0.294348,0.274029,-0.027006,0.249047,0.440082,-0.734571,0.148679,0.823617,-0.354926,-0.543965,-0.766057,?
5.488252,6.803819,2.164087,2.431859,-4.25098,-0.140794,0.334866,0.011655,0.141896,-1.678082,-0.653235,0.423485,0.007652,2.086335,-1.668986,1.531991,-2.5672,-0.629843,-0.483626,-2.059295,0.584295,-0.604504,0.000353,-0.415843,0.562435,0.216172,-0.949889,0.418029,0.017959,-1.018468,0.32302,-0.381592,-0.380744,-1.714184,0.210438,0.034049,-0.414327,-0.361977,-0.863006,-0.134772,-0.089092,1.510101,-0.38995,0.095847,0.831309,-0.972981,0.382497,1.021128,?
4.121797,-3.25459,0.188436,-2.907007,-0.953295,-0.02071,0.876468,1.067354,0.734122,-0.702796,1.01163,0.231573,-0.130683,0.648087,0.308939,0.943473,-0.945596,0.300004,-0.170165,-1.104981,1.259283,0.802717,0.694347,-0.253001,0.202127,0.896205,-0.0222,-0.71216,-0.461495,0.695939,0.975752,1.326248,-0.229068,-0.245953,0.09164,-0.26385,0.137594,-0.146928,-0.411986,0.102263,-0.115101,0.033222,-0.443845,-0.311728,0.920934,-0.156473,-0.405539,-0.62248,?
-8.156155,5.898298,-7.410498,-1.647026,-0.720155,-1.260363,-0.806255,2.351973,-0.725445,-0.117435,-2.287013,-0.736968,-0.048768,-0.175035,0.312813,0.963438,-1.370498,-0.559589,-0.963613,-1.942765,1.157855,0.136145,0.099004,0.193547,0.187225,-0.257412,0.161242,0.065869,-0.690412,0.174771,-1.419762,0.886383,-0.653527,0.782612,0.546395,-0.399265,-0.011383,-0.859732,-0.898681,-0.396707,1.332933,-0.896612,0.528889,0.02893,0.875903,0.941577,-0.180652,-0.700693,?
-3.419806,-4.77858,0.115785,-0.809732,-0.674858,1.237658,-1.54587,-0.225302,0.743753,-0.853364,0.720968,0.137694,0.106144,0.900644,-0.359794,1.060202,-0.94773,0.318758,-0.33572,-0.872113,1.349341,0.076884,0.118097,-0.936511,-0.143023,0.152792,-0.239856,-0.115572,-0.235043,0.225292,-0.16376,-0.503458,-0.841489,-0.088573,0.401443,0.329073,0.046804,-0.148046,0.391235,-0.47119,0.289386,0.511548,-0.55927,-0.782311,-0.350055,-0.296811,1.100145,-0.633444,?
5.507726,1.644168,3.896771,6.675781,0.028417,-2.716482,3.627681,1.448258,0.392375,-1.421939,1.303058,0.671113,-0.127996,1.422202,0.107541,0.840732,-2.264465,0.797748,-0.234187,-0.539281,1.019957,0.423514,0.171586,-1.181985,-0.370453,1.990816,-0.402154,0.166518,0.948359,-1.83311,1.117795,-1.691506,-0.974301,1.647912,-0.260768,0.105096,0.503847,1.244872,-1.095808,-1.171559,-0.477521,-0.513669,1.266109,0.139316,-0.210494,-1.730853,0.877654,0.878359,?
0.048212,12.831101,-2.765375,-0.741794,-2.380775,0.406167,-1.21617,0.159958,2.589099,-0.615803,0.945396,-0.765323,-0.936203,-2.050554,2.165732,-0.412633,-3.052558,-0.888741,0.180384,0.360436,1.300012,0.217838,-0.108866,-0.4023,1.253403,0.201984,-1.56884,0.255798,0.36918,-1.748455,-0.215078,0.989597,0.403397,0.483776,-0.414408,-0.029039,-1.247395,-0.185014,0.730449,1.323248,-0.714419,1.504505,-0.158763,1.191947,-1.232637,-0.560048,0.677659,-0.089167,?
7.150568,0.826919,1.105102,-3.331916,-2.546059,-1.696953,4.120918,0.094046,0.84537,-0.079449,0.341161,0.578799,-0.148456,1.02142,-0.461429,-0.779903,-0.912768,-1.216966,-0.070982,-0.41224,0.709415,-0.100797,1.740782,1.889049,1.642667,-0.718538,-0.099745,-1.146932,-0.265203,-0.064861,-0.997139,-0.028036,-0.280124,1.849155,0.354588,1.136878,-1.078488,0.862438,-0.995553,-0.054439,-0.681536,0.830074,-0.346797,-0.739202,-0.77974,-0.283002,0.251689,-0.089019,?
